id,miejscowosc,ulica,numer_domu,kod_pocztowy
35105,Sejny,ul. Konarskiego,23,16-500
35106,Nowe Miasto nad Pilicą,ul. Tomaszowska,123,26-420
35107,Toruń,ul. Mikołaja Kopernika,4,87-100
35108,Toruń,ul. Franciszkańska,2,87-100
35109,Gniewczyna Łańcucka,,608,37-203
35110,Orszymowo,,53,09-460
35111,Sieciechów,ul. Szkolna,1,26-922
35112,Lewniowa,,275,32-864
35113,Olsztyn,ul. Bałtycka,37a,10-144
35114,Radzymin,ul. Komunalna,8,05-250
35115,Święciechowa,ul. Strzelecka,12,64-115
35116,Miasteczko Krajeńskie,pl. Plac Wolności,12,89-350
35117,Łomża,al. Aleja Józefa Piłsudskiego,11,18-400
35118,Binarowa,,458,38-340
35119,Olsztyn,al. Aleja Marszałka Józefa Piłsudskiego,56a,10-450
35120,Binarowa,,458,38-340
35121,Niedźwiedź,,62,08-503
35122,Szczecin,ul. Lucjana Rydla,5,70-783
35123,Przytkowice,,542,34-141
35124,Sieniawa,ul. Tadeusza Kościuszki,9,37-530
35125,Dzierzgoń,"ul. Tadeusza Zawadzkiego ""Zośki""",15,82-440
35126,Brzeźnica,,78,57-257
35127,Nabróż,,19,22-650
35128,Ceków-Kolonia,,2,62-834
35129,Skoki,ul. Henryka Sienkiewicza,19,62-085
35130,Strzelin,ul. Stanisława Staszica,5,57-100
35131,Kalisz,pl. Plac Jana Pawła II,9,62-800
35132,Kalisz,pl. Plac Jana Pawła II,9,62-800
35133,Krzywa,,52,59-225
35134,Strzelin,ul. Pocztowa,17,57-100
35135,Sadki,ul. Kościelna,7,89-110
35136,Sejny,ul. Konarskiego,23,16-500
35137,Stanisław Dolny,,73,34-130
35138,Jabłkowo,,16,62-285
35139,Warszawa,ul. Parcelacyjna,7c,03-155
35140,Lublin,ul. Gospodarcza,26,20-213
35141,Lublin,ul. Gospodarcza,26,20-213
35142,Bukowsko,ul. Sanocka,5,38-505
35143,Przyłęki,ul. Zabytkowa,5,86-005
35144,Toruń,pl. Plac Św. Katarzyny,4,87-100
35145,Toruń,ul. Żółkiewskiego,37/41,87-100
35146,Toruń,ul. Legionów,15,87-100
35147,Toruń,pl. Plac Św. Katarzyny,3,87-100
35148,Nienadówka,,686,36-052
35149,Nienadówka,,686,36-052
35150,Jabłkowo,,16,62-285
35151,Toruń,ul. Przy Skarpie,23c,87-100
35152,Tryńcza,,129,37-204
35153,Baćkowice,,100,27-552
35154,Baćkowice,,100,27-552
35155,Potrzanowo,ul. Szkolna,1,62-085
35156,Miechów,ul. Racławicka,23,32-200
35157,Bukowsko,ul. Sanocka,3,38-505
35158,Kamień,,34a,62-834
35159,Białe Błota,ul. Centralna,27,86-005
35160,Rzeszów,al. Józefa Piłsudskiego,2,35-959
35161,Rzeszów,ul. Klementyny Hoffmanowej,13,35-016
35162,Cetula,,63,37-523
35163,Kowalewo Pomorskie,ul. św. Mikołaja,6,87-410
35164,Białe Błota,ul. Centralna,27,86-005
35165,Polesie,,9,09-130
35166,Górno,ul. Zaborze,51,36-051
35167,Mikoszów,,27,57-100
35168,Strzelin,pl. 1 Maja,10,57-100
35169,Strzelin,ul. Jana Pawła II,23,57-100
35170,Lubania,,30,96-208
35171,Gągolin Południowy,,82,99-414
35172,Węgleszyn,,50A,28-363
35173,Korytnica,ul. Szkolna,1,07-120
35174,Mosina,ul. Kościelna,2,62-050
35175,Gończyce,,106,08-460
35176,Kłecko,ul. Gnieźnieńska,7,62-270
35177,Mąkolno,,56,57-250
35178,Złoty Stok,ul. 3 Maja,29,57-250
35179,Żary,ul. Żagańska,11,68-200
35180,Koszalin,ul. Heleny Modrzejewskiej,24,75-732
35181,Pruszków,ul. Helenowska,3,05-800
35182,Pruszków,ul. Szkolna,3,05-800
35183,Świdnica,ul. Galla Anonima,3,58-100
35184,Siedlce,ul. Księdza Jerzego Popiełuszki,8,08-110
35185,Włocławek,ul. Leśna,1A,87-800
35186,Pobiedno,,105,38-505
35187,Siedliszcze,ul. Aleksandra Bałasza,1,22-130
35188,Nowotaniec,,77,38-505
35189,Lewniowa,,275,32-864
35190,Nowotaniec,,77,38-505
35191,Złotów,ul. Norwida,10,77-400
35192,Łańcut,ul. Tadeusza Kościuszki,17,37-100
35193,Trębaczew,,30,96-208
35194,Zalewo,ul. Traugutta,15,14-230
35195,Toruń,ul. Wielkie Garbary,15,87-100
35196,Racławice,ul. Rudnicka,81,37-400
35197,Zalesie Śląskie,ul. Dworcowa,4,47-150
35198,Zalesie Śląskie,ul. Dworcowa,4,47-150
35199,Raszowa,ul. Kościelna,7,47-150
35200,Raszowa,ul. Góry Świętej Anny,91,47-150
35201,Bardo,ul. Polna,1,57-256
35202,Pomiechówek,ul. Nasielska,3,05-180
35203,Walim,ul. Boczna,8,58-320
35204,Hrubieszów,ul. Żeromskiego,11,22-500
35205,Trębaczew,,30,96-208
35206,Górno,ul. Centralna,14,36-051
35207,Kobierzyn,,61a,33-140
35208,Trzebaw,ul. Mosińska,1,62-060
35209,Świdnik,ul. Sosnowa,17a,21-040
35210,Hrubieszów,ul. Żeromskiego,11,22-500
35211,Jaświły,,71,19-124
35212,Hrubieszów,ul. Żeromskiego,11,22-500
35213,Dzierżążno,ul. Edukacji Narodowej,4A,83-332
35214,Kiełpino,ul. Szkolna,29,83-307
35215,Paleśnica,,115,32-842
35216,Paleśnica,,115,32-842
35217,Pieńsk,ul. Bolesławiecka,49,59-930
35218,Poznań,ul. Hipolita Cegielskiego,1,61-862
35219,Turze Rogi,,50,21-400
35220,Józefosław,ul. Julianowska,67C i D,05-500
35221,Filipowice,,125,32-840
35222,Jastrzębie-Zdrój,ul. 11 Listopada,9,44-330
35223,Łańcut,ul. 29 Listopada,21,37-100
35224,Rybna,ul. Szkolna,5,42-231
35225,Naruszewo,,17,09-152
35226,Filipowice,,125,32-840
35227,Bielawa,ul. Wolności,22-24,58-260
35228,Grodzisko,ul. Grodowa,3,32-640
35229,Dobrodzień,ul. Oleska,7,46-380
35230,Łańcut,os. osiedle Trześnik,16,37-100
35231,Wieszczęta,,50,43-386
35232,Lublin,ul. Jana Sawy,3,20-632
35233,Krzyżanowice,,137,27-100
35234,Urle,ul. Żwirki i Wigury,4,05-281
35235,Urle,ul. Żwirki i Wigury,4,05-281
35236,Warszawa,ul. Światowida,65,03-144
35237,Szczucin,ul. Witosa,2,33-230
35238,Augustów,ul. Rajgrodzka,1,16-300
35239,Jarczów,ul. Szkolna,5,22-664
35240,Libusza,,679,38-306
35241,Toruń,ul. Stefana Batorego,37/41,87-100
35242,Sejny,ul. Konarskiego,23,16-500
35243,Mieczysławów,,2,99-314
35244,Wiskitki,ul. Kościuszki,25,96-315
35245,Kornelówka,,41,22-424
35246,Horyszów Polski,,85,22-424
35247,Kolonia Sitno,,51,22-424
35248,Olsztyn,al. Aleja Marszałka Józefa Piłsudskiego,42,10-450
35249,Mieczysławów,,2,99-314
35250,Bielsko-Biała,ul. ks. Stanisława Stojałowskiego,50,43-300
35251,Zamość,ul. Partyzantów,14,22-400
35252,Zawichost,ul. 11 Listopada,1,27-630
35253,Kostomłoty Drugie,ul. Kielecka,9,26-085
35254,Kostomłoty Drugie,ul. Kielecka,9,26-085
35255,Trzeboś,ul. Podlas,29,36-050
35256,Suraż,ul. Szkolna,1,18-105
35257,Suraż,ul. Szkolna,1,18-105
35258,Chwalibożyce,,1C,55-200
35259,Bystrzyca,ul. Tadeusza Kościuszki,99,55-200
35260,Marcinkowice,ul. Szkolna,1,55-200
35261,Drzemlikowice,,14,55-200
35262,Osiek,,124,55-200
35263,Ścinawa Polska,,26,55-200
35264,Oleśnica Mała,,52,55-200
35265,Chwalibożyce,,1C,55-200
35266,Stanowice,ul. Leśna,1,55-200
35267,Bystrzyca,ul. Tadeusza Kościuszki,45,55-200
35268,Kłecko,ul. Gnieźnieńska,7,62-270
35269,Olsztyn,al. Aleja Marszałka Józefa Piłsudskiego,56a,10-450
35270,Konstancin-Jeziorna,ul. Wiejska,35A,05-510
35271,Kłecko,ul. Gnieźnieńska,7,62-270
35272,Górno,ul. Centralna,14,36-051
35273,Górno,ul. Centralna,14,36-051
35274,Wólka Niedźwiedzka,,400,36-050
35275,Pisz,ul. Władysława Sikorskiego,15,12-200
35276,Turza,,229,36-050
35277,Pisz,ul. Młodzieżowa,26,12-200
35278,Piaski,ul. Partyzantów,19,21-050
35279,Rzeszów,al. Tadeusza Rejtana,53,35-326
35280,Olsztyn,ul. Marii Grzegorzewskiej,6,10-060
35281,Chrzanów,ul. J. Piłsudskiego,14,32-500
35282,Trzebinia,ul. Gwarków,3,32-541
35283,Trzeboś,ul. Dolna,240,36-050
35284,Niepołomice,ul. Słoneczna,24d,32-005
35285,Głogów,ul. Obrońców Pokoju,1-2,67-200
35286,Świdnica,ul. Sprzymierzeńców,1-2,58-100
35287,Sadowice,ul. Szkolna,10,55-080
35288,Jerzmanice-Zdrój,,20,59-500
35289,Koronowo,ul. Dworcowa,36,86-010
35290,Kcynia,ul. Jana Kantego,1,89-240
35291,Szubin,ul. Kcyńska,36,89-200
35292,Nowe,ul. Bydgoska,4,86-170
35293,Świecie,ul. Sądowa,12,86-100
35294,Dominów,,81C,20-388
35295,Konstantynów Łódzki,ul. Ignacew,9,95-050
35296,Tarnów,ul. Klikowska,101,33-100
35297,Mrozy,ul. Leśna,8,05-320
35298,Laskowiec,ul. Mazurska,28,07-401
35299,Czechowice-Dziedzice,ul. Chłopska,70,43-502
35300,Ligota,ul. Bory,2,43-518
35301,Studzieniec,,20a,96-330
35302,Warszawa,ul. Stanisława Jachowicza,4,04-995
35303,Białystok,ul. 42 Pułku Piechoty,117,15-181
35304,Chrzanów,ul. Fabryczna,27,32-500
35305,Chojnice,ul. Igielska,8,89-600
35306,Chrzanów,ul. Fabryczna,27,32-500
35307,Chrzanów,ul. Fabryczna,27,32-500
35308,Chrzanów,ul. Fabryczna,27,32-500
35309,Chrzanów,ul. Marszałka Ferdynanda Focha,3,32-500
35310,Trzebinia,ul. Głogowa,12,32-540
35311,Libiąż,ul. Górnicza,3,32-590
35312,Libiąż,ul. Górnicza,3,32-590
35313,Gdańsk,ul. Polanki,122,80-308
35314,Pszczyna,ul. Zdrojowa,64,43-200
35315,Zawidz Kościelny,ul. Mazowiecka,47B,09-226
35316,Racibórz,ul. Kaspra Adamczyka,14,47-400
35317,Zawiercie,ul. Mrzygłodzka,35,42-400
35318,Ostrowiec Świętokrzyski,ul. Długa,10,27-400
35319,Leszcze,,31A,28-400
35320,Zawidz Kościelny,ul. Mazowiecka,47B,09-226
35321,Barczewo,ul. Wojska Polskiego,2,11-010
35322,Domaszków,ul. Kolejowa,10,57-522
35323,Trzemeszno,ul. Adama Mickiewicza,35,62-240
35324,Witkowo,ul. Park Kościuszki,9,62-230
35325,Grodzisk Wielkopolski,ul. Bukowska,18,62-065
35326,Poznań,ul. Wagrowska,9,61-372
35327,Koszalin,ul. 4 Marca,36,75-708
35328,Szczecin,ul. Modra,11,71-220
35329,Olsztyn,ul. Marii Grzegorzewskiej,6,10-048
35330,Siemirowice,ul. Osiedle na Skarpie,2,84-313
35331,Międzylesie,ul. Wojska Polskiego,25,57-530
35332,Kielce,ul. Wojewódzka,12,25-536
35333,Sadkowice,,128,96-206
35334,Miasteczko Śląskie,ul. Dworcowa,5,42-610
35335,Korczew,ul. Szkolna,4,08-108
35336,Miasteczko Śląskie,ul. Harcerska,5,42-610
35337,Kowalewo Pomorskie,ul. św. Mikołaja,6,87-410
35338,Miasteczko Śląskie,ul. Dębina,1,42-610
35339,Kobiele Wielkie,ul. Szkolna,4,97-524
35340,Leoncin,ul. Isaaca Bashevisa Singera,3,05-155
35341,Miasteczko Śląskie,ul. Srebrna,12,42-610
35342,Korczew,ul. Siedlecka,8,08-108
35343,Łódź,ul. Wileńska,22a,94-029
35344,Wólka Niedźwiedzka,,400,36-050
35345,Wólka Niedźwiedzka,,400,36-050
35346,Miasteczko Śląskie,ul. Konstantego Ildefonsa Gałczyńskiego,26,42-610
35347,Trzydnik Duży,,72,23-230
35348,Olbięcin,,95,23-230
35349,Rzeczyca Ziemiańska,,79,23-230
35350,Józefów nad Wisłą,ul. Opolska,10 a,24-340
35351,Józefów nad Wisłą,ul. Opolska,10a,24-340
35352,Warszawa,ul. Dzieci Warszawy,42,02-495
35353,Warszawa,ul. Dzieci Warszawy,42,02-495
35354,Warszawa,ul. Dzieci Warszawy,42,02-495
35355,Tarnowskie Góry,ul. Św. Jana Bosko,1,42-600
35356,Piła,ul. gen. Sikorskiego,19,64-920
35357,Głuchów,pl. Uniwersytecki,3,96-130
35358,Złotów,ul. Garncarska,4a,77-400
35359,Ruciane-Nida,ul. Polna,2,12-220
35360,Ruciane-Nida,ul. Polna,2,12-220
35361,Piła,ul. gen. Sikorskiego,73,64-920
35362,Wyrzysk,ul. Wiejska,1,89-300
35363,Sieciechów,ul. Kozienicka,4,26-922
35364,Piła,ul. Ceglana,4,64-920
35365,Łobżenica,ul. Złotowska,15,89-310
35366,Kraków,os. Osiedle Złotej Jesieni,2,31-826
35367,Kraków,os. Osiedle Złotej Jesieni,2,31-826
35368,Kraków,os. Osiedle Złotej Jesieni,2,31-826
35369,Piła,ul. Ceglana,2,64-920
35370,Gorzyce,,284,37-204
35371,Bolesławiec,ul. Szkolna,4,98-430
35372,Łupki,,15,12-200
35373,Piła,ul. gen. Sikorskiego,18A,64-920
35374,Siedlce,ul. Generała Józefa Bema,4,08-110
35375,Siedlce,ul. Księdza Jerzego Popiełuszki,8,08-110
35376,Piła,ul. Teatralna,1,64-920
35377,Łupki,,15,12-200
35378,Bolesławiec,ul. Szkolna,4A,98-430
35379,Piła,ul. Śniadeckich,27A/B,64-920
35380,Lanckorona,ul. Szkolna,5A,34-143
35381,Piła,ul. gen. Sikorskiego,73,64-920
35382,Wyrzysk,ul. Wiejska,1,89-300
35383,Łupki,,15,12-200
35384,Siedlce,ul. Generała Józefa Bema,4,08-110
35385,Piła,ul. Promienna,11,64-920
35386,Siedlce,ul. Generała Józefa Bema,4,08-110
35387,Chrzanów,ul. Paderewskiego,5,32-500
35388,Chrzanów,ul. Paderewskiego,1,32-500
35389,Chrzanów,ul. Paderewskiego,1,32-500
35390,Warszawa,ul. Zorzy,17,04-639
35391,Warszawa,ul. Trakt Lubelski,40,04-870
35392,Warszawa,al. Aleja Władysława Reymonta,16,01-842
35393,Warszawa,ul. Jana Brożka,26,01-451
35394,Warszawa,ul. Osowska,81,04-351
35395,Warszawa,ul. Osowska,81,04-351
35396,Warszawa,ul. Podmokła,4,04-819
35397,Warszawa,ul. Strażacka,57,04-462
35398,Warszawa,ul. Patriotów,90,04-844
35399,Warszawa,ul. Dolna,19,00-773
35400,Warszawa,ul. Koźmińska,7,00-448
35401,Warszawa,ul. Koźmińska,7,00-448
35402,Warszawa,ul. Koźmińska,7,00-448
35403,Warszawa,ul. Twarda,8/12,00-105
35404,Warszawa,ul. Twarda,8/12,00-105
35405,Warszawa,pl. Trzech Krzyży,4/6,00-499
35406,Warszawa,pl. Trzech Krzyży,4/6,00-499
35407,Warszawa,pl. Trzech Krzyży,4/6,00-499
35408,Warszawa,pl. Trzech Krzyży,4/6,00-499
35409,Warszawa,pl. Trzech Krzyży,4/6,00-499
35410,Warszawa,ul. Łucka,17/23,00-842
35411,Warszawa,ul. Łucka,17/23,00-842
35412,Warszawa,ul. Łucka,17/23,00-842
35413,Warszawa,ul. Łucka,17/23,00-842
35414,Warszawa,ul. Jana Chryzostoma Paska,10,01-640
35415,Ludów Polski,,16,57-100
35416,Ludów Polski,,16,57-100
35417,Strzelin,ul. Jana Pawła II,23,57-100
35418,Piła,ul. gen. Sikorskiego,18A,64-920
35419,Piła,ul. Edwarda Dembowskiego,4,64-920
35420,Piła,ul. Kilińskiego,16,64-920
35421,Piła,ul. Kilińskiego,16,64-920
35422,Piła,ul. Ceglana,2,64-920
35423,Piła,ul. Ceglana,4,64-920
35424,Milanów,ul. Szkolna,12,21-210
35425,Susz,ul. Piastowska,1a,14-240
35426,Susz,ul. Piastowska,5,14-240
35427,Jawty Wielkie,,6,14-240
35428,Białystok,ul. Marczukowska,6,15-724
35429,Szczecin,ul. Bohdana Zaleskiego,31,71-495
35430,Szczecin,ul. bł. Królowej Jadwigi,"27,28",70-262
35431,Zamość,ul. Elizy Orzeszkowej,43,22-400
35432,Zamość,ul. Henryka Sienkiewicza,5,22-400
35433,Zamość,ul. Hetmana Jana Zamoyskiego,4,22-400
35434,Włocławek,ul. Stefana Okrzei,94A,87-800
35435,Brody,,479,34-130
35436,Przytkowice,,542,34-141
35437,Przytkowice,,542,34-141
35438,Zamość,ul. B. Prusa,10,22-400
35439,Warszawa,ul. Namysłowska,10,03-455
35440,Warszawa,ul. Namysłowska,10,03-455
35441,Warszawa,ul. Elektoralna,12/14,00-139
35442,Warszawa,al. Aleja Dzieci Polskich,20,04-730
35443,Warszawa,al. Aleja Dzieci Polskich,20,04-730
35444,Warszawa,al. Aleja Dzieci Polskich,20,04-730
35445,Warszawa,ul. Elektoralna,12/14,00-139
35446,Warszawa,ul. Elektoralna,12/14,00-139
35447,Warszawa,ul. Żwirki i Wigury,63A,02-091
35448,Warszawa,ul. Skaryszewska,8,03-802
35449,Warszawa,ul. Skaryszewska,8,03-802
35450,Warszawa,ul. Augustyna Kordeckiego,54,04-330
35451,Warszawa,ul. Augustyna Kordeckiego,54,04-330
35452,Warszawa,ul. Weterynaryjna,3,03-836
35453,Warszawa,ul. Szczęśliwicka,45/47,02-353
35454,Warszawa,ul. Cegłowska,80,01-809
35455,Warszawa,ul. Spartańska,1,02-637
35456,Zakliczyn,ul. Jacka Malczewskiego,56,32-840
35457,Mrocza,ul. Łobżenicka,11C,89-115
35458,Chorzów,ul. Ludwika Urbanowicza,2,41-500
35459,Nowa Wieś,,70A,05-660
35460,Nowa Ruda,ul. Stara Droga,4,57-401
35461,Nowa Wieś,,70A,05-660
35462,Trzeboś,ul. Kościelna,1,36-050
35463,Trębaczów,,142,63-642
35464,Perzów,,77A,63-642
35465,Bartoszyce,ul. Limanowskiego,13,11-200
35466,Nacpolsk,ul. Szkolna,18,09-162
35467,Mikoszów,,27,57-100
35468,Krotoszyn,ul. Kołłątaja,3A,63-700
35469,Krotoszyn,ul. Wojciechowskiego,3,63-700
35470,Krotoszyn,ul. Zielona,4,63-700
35471,Mokrsko Dolne,,50A,28-305
35472,Korytnica,,206,28-305
35473,Dzierzgoń,"ul. Tadeusza Zawadzkiego ""Zośki""",15,82-440
35474,Zamość,ul. Kalinowa,5a,22-400
35475,Nowa Ruda,ul. Stara Droga,4,57-401
35476,Zajezierze,ul. 28 Pułku Artylerii Lekkiej,18,26-922
35477,Zajezierze,ul. 28 Pułku Artylerii Lekkiej,18,26-922
35478,Gnieszowice,,3,27-660
35479,Miąsowa,,13B,28-305
35480,Jednorożec,ul. Odrodzenia,13,06-323
35481,Chojnów,ul. Wincentego Witosa,1,59-225
35482,Kłodzko,ul. Stefana Okrzei,8,57-300
35483,Nysa,ul. Marii Rodziewiczówny,1,48-303
35484,Nysa,ul. Marii Rodziewiczówny,1,48-303
35485,Nysa,ul. Marii Rodziewiczówny,1,48-303
35486,Nysa,ul. Marii Rodziewiczówny,1,48-303
35487,Nysa,ul. Marii Rodziewiczówny,1,48-303
35488,Siedlce,ul. Brzeska,95,08-110
35489,Radom,ul. Kazimierza Kelles-Krauza,3,26-610
35490,Libiąż,ul. Górnicza,3,32-590
35491,Piaseczno,ul. Orzeszkowej,13,05-500
35492,Konin,ul. Sosnowa,14,62-510
35493,Żmigród,ul. Rybacka,17,55-140
35494,Żmigród,ul. Rybacka,17,55-140
35495,Polanica-Zdrój,ul. Dębowa,14,57-320
35496,Żory,ul. Powstańców,6,44-240
35497,Jeleniec,,45,21-421
35498,Tuchowicz,,66C,21-421
35499,Mońki,ul. Tysiąclecia,15a,19-100
35500,Nowy Korczyn,ul. Buska,7,28-136
35501,Warszawa,ul. Siennicka,40,04-393
35502,Nienadówka,,788,36-052
35503,Nienadówka,,788,36-052
35504,Łobżenica,ul. Złotowska,14,89-310
35505,Osiek nad Notecią,ul. Bukowa,5,89-333
35506,Piła,ul. Łączna,4a,64-920
35507,Piła,ul. Podchorążych,1,64-920
35508,Krasienin-Kolonia,,39,21-025
35509,Kraśniczyn,ul. Szkolna,1,22-310
35510,Jadów,ul. 11 Listopada,15/17,05-280
35511,Dys,ul. Lotników Polskich,4,21-003
35512,Janów,ul. Białostocka,22,16-130
35513,Janów,ul. Białostocka,22,16-130
35514,Kłodzko,ul. Łużycka,13,57-300
35515,Kłodzko,ul. Wojska Polskiego,14,57-300
35516,Wyszonki Kościelne,,1,18-214
35517,Kuczyn,,69,18-214
35518,Dys,ul. Lotników Polskich,4,21-003
35519,Łuniewo Małe,,2,18-214
35520,Klukowo,ul. Szkolna,8,18-214
35521,Nowa Ruda,os. XXX-lecia,5/2/3,57-402
35522,Żdżary,,123,98-430
35523,Tymbark,,326,34-650
35524,Piaseczno,ul. Orzechowa,16A,05-501
35525,Żdżary,,123,98-430
35526,Siemiatycze,ul. Tadeusza Kościuszki,43,17-300
35527,Brzegi,,104,28-305
35528,Niemce,ul. Szkolna,23,21-025
35529,Jagarzewo,,54,13-113
35530,Nidzica,ul. Władysława Jagiełły,1,13-100
35531,Poddębice,ul. Łęczycka,13/15,99-200
35532,Wola Osowińska,ul. Parkowa,7,21-345
35533,Poddębice,ul. Polna,13/15,99-200
35534,Wola Osowińska,ul. Parkowa,7,21-345
35535,Radlin,,29,63-200
35536,Wola Osowińska,ul. Parkowa,7,21-345
35537,Łomża,ul. Szosa Zambrowska,1,18-400
35538,Wola Osowińska,ul. Parkowa,7,21-345
35539,Kozubów,,54a,28-400
35540,Słowino,,78,76-150
35541,Malbork,ul. Jana Kochanowskiego,19,82-200
35542,Kraśnik,ul. Stanisława Moniuszki,3,23-204
35543,Grzmiąca,ul. Sportowa,2,78-450
35544,Zebrzydowice,,193,34-130
35545,Złotów,ul. Norwida,10,77-400
35546,Złotów,ul. Norwida,10,77-400
35547,Chrzanów,ul. marsz. F. Focha,3,32-500
35548,Barwałd Górny,,213,34-130
35549,Leńcze,,276,34-142
35550,Podolany,,21,34-142
35551,Barwałd Średni,,70,34-124
35552,Barwałd Średni,,70,34-124
35553,Stanisław Dolny,,256,34-130
35554,Fajsławice,,130A,21-060
35555,Chróścin,,49,98-430
35556,Chróścin,,49,98-430
35557,Mieleszyn,,141,98-430
35558,Mieleszyn,,141,98-430
35559,Warszawa,ul. Hafciarska,80/86,04-725
35560,Warszawa,ul. Jana III Sobieskiego,9,02-957
35561,Warszawa,ul. Jana III Sobieskiego,9,02-957
35562,Warszawa,ul. Tarchomińska,4,03-746
35563,Warszawa,ul. Bartnicza,2,03-358
35564,Warszawa,ul. Różana,22/24,02-569
35565,Warszawa,ul. Stefana Czarnieckiego,49,01-548
35566,Warszawa,ul. Karolkowa,56,01-193
35567,Warszawa,ul. Derkaczy,74,04-963
35568,Warszawa,ul. Derkaczy,74,04-963
35569,Warszawa,ul. Marcina Kasprzaka,17a,01-211
35570,Warszawa,ul. Długa,9,00-238
35571,Warszawa,ul. Długa,9,00-238
35572,Warszawa,ul. św. Bonifacego,81,02-945
35573,Warszawa,ul. Białobrzeska,44,02-325
35574,Trzeboś,ul. Kościelna,1,36-050
35575,Trzeboś,ul. Kościelna,1,36-050
35576,Bolesławiec,ul. Szkolna,4,98-430
35577,Piła,ul. Światowida,3,64-920
35578,Murowaniec,ul. Staroszkolna,13,86-005
35579,Żelechlinek,ul. Wincentego Witosa,1A,97-226
35580,Warszawa,ul. Bełska,5,02-638
35581,Warszawa,ul. Bełska,5,02-638
35582,Jagiełła,,275,37-203
35583,Potoczek,,42,23-313
35584,Łochowo,ul. Tęczowa,18,86-065
35585,Godziszka,ul. Beskidzka,29,43-376
35586,Słomniki,ul. Tadeusza Kościuszki,26,32-090
35587,Skała,ul. Bohaterów Września,42,32-043
35588,Potok Wielki,,104,23-313
35589,Gołosze,,28,05-620
35590,Łochowice,ul. Łososiowa,11,86-065
35591,Chodaczów,,59A,37-306
35592,Laszczyny,,75A,37-306
35593,Potok-Stany,,63,23-313
35594,Kłodzko,ul. Wolności,83,57-300
35595,Sokołów Podlaski,ul. Wojska Polskiego,48,08-300
35596,Janów,ul. Białostocka,22,16-130
35597,Janów,ul. Białostocka,22,16-130
35598,Warszawa,ul. Jagielska,2,02-886
35599,Dębowa Kłoda,,2,21-211
35600,Kodeniec,,71,21-211
35601,Wilkowo,,23,11-440
35602,Włocławek,ul. Bukowa,38/40,87-800
35603,Włocławek,ul. Bukowa,38/40,87-800
35604,Siedliszcze,ul. Aleksandra Bałasza,1,22-130
35605,Siedlce,ul. Kazimierzowska,23A,08-110
35606,Siedlce,ul. Kazimierzowska,23A,08-110
35607,Siedlce,ul. Fryderyka Chopina,10,08-110
35608,Siedlce,ul. Kazimierzowska,23A,08-110
35609,Korzecko,,82,26-060
35610,Ząbki,ul. 11 Listopada,4,05-091
35611,Dobryszyce,ul. Leśna,1,97-505
35612,Olsztyn,ul. Marii Grzegorzewskiej,6,10-048
35613,Kraśnik,ul. Rumiankowa,6,23-200
35614,Warszawa,ul. Wolbromska,31,03-680
35615,Bystrzyca Kłodzka,ul. Stefana Okrzei,20,57-500
35616,Szczecin,ul. Kuśnierska,10,70-536
35617,Zawichost,ul. 11 Listopada,1,27-630
35618,Mońki,ul. Leśna,3,19-100
35619,Kraśnik,ul. Spółdzielcza,3,23-200
35620,Miasteczko Śląskie,ul. Harcerska,5,42-610
35621,Czarne Dolne,ul. Szkolna,7-9,82-520
35622,Wandowo,,60,82-520
35623,Cygany,,27,82-520
35624,Otłowiec,,26,82-520
35625,Trumieje,,12,82-520
35626,Gardeja,ul. Młyńska,4,82-520
35627,Pomiechówek,ul. Ogrodnicza,6,05-180
35628,Pomiechówek,ul. Ogrodnicza,6,05-180
35629,Pomiechówek,ul. Ogrodnicza,6,05-180
35630,Miasteczko Śląskie,ul. Harcerska,5,42-610
35631,Piaseczno,ul. Chyliczkowska,17,05-500
35632,Ostrowiec Świętokrzyski,ul. Żabia,40,27-400
35633,Ostrowiec Świętokrzyski,ul. Żabia,40,27-400
35634,Wipsowo,,63,11-010
35635,Białystok,ul. Pogodna,12,15-354
35636,Szczecin,ul. Pocztowa,31/33,71-360
35637,Kraśnik,ul. Juliusza Słowackiego,5,23-204
35638,Pilszcz,ul. Owsiana,3,48-130
35639,Kraśnik,ul. Jana Matejki,1,23-204
35640,Olsztyn,ul. Marii Grzegorzewskiej,6,10-048
35641,Bedoń-Wieś,ul. Jarzębinowa,1,95-020
35642,Czyżówka,ul. Szkolna,11,32-541
35643,Czyżówka,ul. Szkolna,11,32-541
35644,Długopole-Zdrój,ul. Zdrojowa,11,57-520
35645,Barlewiczki,,13,82-400
35646,Kłodzko,ul. Rajska,1,57-300
35647,Kraśnik,ul. Balladyny,8,23-204
35648,Lubliniec,ul. ks. płk. Jana Szymały,3,42-700
35649,Kraśnik,ul. Tadeusza Kościuszki,23,23-200
35650,Lubliniec,ul. ks. płk. Jana Szymały,3,42-700
35651,Grygrów,,1b,07-104
35652,Bobrowiec,ul. Willowa,18,05-502
35653,Stolno,,88,86-212
35654,Błażowa,ul. Kapitana Józefa Lutaka,14,36-030
35655,Piaseczno,ul. Kościelna,9,05-500
35656,Żagań,ul. Skarbowa,13,68-100
35657,Pęchery,ul. Bolesława Chrobrego,80,05-502
35658,Żagań,ul. Wałowa,12,68-100
35659,Żagań,ul. Żarska,16,68-100
35660,Żagań,ul. Skarbowa,24,68-100
35661,Złotokłos,ul. Staszica,11,05-504
35662,Częstochowa,ul. Brzeźnicka,59,42-215
